PercentageMelodyScore,PercentageOfRhythmScore,PercentageOfTotalMETScore,F1,F2,F3,F4,F5,GS
69.23076923,69.23076923,69.23076923,32,43,23,31,24,72
80.76923077,67.30769231,74.03846154,20,43,8,39,15,41
55.76923077,71.15384615,63.46153846,41,35,9,34,10,40
71.15384615,80.76923077,75.96153846,26,33,7,30,25,48
73.07692308,73.07692308,73.07692308,20,46,25,26,26,57
67.30769231,80.76923077,74.03846154,21,41,25,26,25,66
59.61538462,76.92307692,68.26923077,40,48,9,33,38,68
65.38461538,71.15384615,68.26923077,24,34,8,31,17,43
75,67.30769231,71.15384615,38,38,22,32,18,56
57.69230769,75,66.34615385,29,48,12,28,22,50
75,80.76923077,77.88461538,21,33,9,20,20,38
59.61538462,61.53846154,60.57692308,37,44,11,32,16,53
71.15384615,80.76923077,75.96153846,61,53,33,40,23,90
76.92307692,80.76923077,78.84615385,36,54,37,37,33,91
82.69230769,80.76923077,81.73076923,42,46,30,29,29,77
78.84615385,84.61538462,81.73076923,38,45,18,33,18,59
73.07692308,69.23076923,71.15384615,36,54,28,35,38,92
51.92307692,75,63.46153846,32,40,12,30,32,62
57.69230769,76.92307692,67.30769231,43,46,10,38,26,64
69.23076923,88.46153846,78.84615385,26,40,9,30,23,47
69.23076923,67.30769231,68.26923077,29,21,10,17,13,32
63.46153846,65.38461538,64.42307692,35,33,9,33,15,39
71.15384615,69.23076923,70.19230769,31,45,15,37,25,59
82.69230769,92.30769231,87.5,54,56,23,41,30,85
78.84615385,82.69230769,80.76923077,40,53,37,32,40,107
59.61538462,65.38461538,62.5,35,36,7,33,32,51
65.38461538,67.30769231,66.34615385,31,38,11,34,29,56
57.69230769,53.84615385,58.65384615,39,40,16,32,25,64
55.76923077,69.23076923,62.5,16,42,19,31,24,57
73.07692308,63.46153846,68.26923077,29,49,20,27,14,56
63.46153846,78.84615385,71.15384615,29,44,24,31,22,60
71.15384615,78.84615385,75,27,43,8,29,29,55
69.23076923,82.69230769,75.96153846,45,42,23,34,26,71
78.84615385,76.92307692,77.88461538,37,57,30,34,29,81
88.46153846,80.76923077,57.69230769,37,59,25,35,36,82
73.07692308,73.07692308,73.07692308,14,46,7,26,11,33
67.30769231,71.15384615,69.23076923,9,33,32,16,17,47
57.69230769,76.92307692,67.30769231,26,41,26,27,18,59
67.30769231,76.92307692,72.11538462,35,42,14,33,27,63
69.23076923,75,72.11538462,48,41,22,30,20,70
53.84615385,63.46153846,58.65384615,33,35,7,22,12,32
78.84615385,78.84615385,78.84615385,18,24,15,21,9,28
67.30769231,76.92307692,72.11538462,25,43,13,30,19,50
69.23076923,82.69230769,75.96153846,29,37,16,30,21,52
57.69230769,61.53846154,59.61538462,21,42,9,27,20,45
71.15384615,69.23076923,70.19230769,33,50,11,33,15,47
71.15384615,71.15384615,71.15384615,39,52,36,40,33,91
75,63.46153846,69.23076923,43,55,25,37,36,87
80.76923077,75,77.88461538,41,44,24,36,23,67
80.76923077,92.30769231,86.53846154,18,41,11,32,26,50
84.61538462,86.53846154,85.57692308,35,58,31,34,33,88
73.07692308,78.84615385,75.96153846,33,38,18,36,24,61
80.76923077,67.30769231,74.03846154,39,54,28,41,29,95
69.23076923,86.53846154,77.88461538,48,56,31,36,27,87
73.07692308,65.38461538,69.23076923,28,34,17,35,24,49
53.84615385,69.23076923,61.53846154,32,33,8,24,20,43
59.61538462,57.69230769,58.65384615,26,44,12,25,24,54
55.76923077,57.69230769,56.73076923,37,58,13,38,19,58
57.69230769,53.84615385,55.76923077,40,44,8,24,25,49
61.53846154,75,68.26923077,15,33,8,22,14,28
82.69230769,75,78.84615385,41,52,36,41,28,88
73.07692308,80.76923077,76.92307692,41,57,21,40,35,75
82.69230769,69.23076923,75.96153846,37,37,8,29,24,47
80.76923077,84.61538462,82.69230769,39,53,29,35,39,91
63.46153846,69.23076923,66.34615385,15,32,7,13,11,28
75,69.23076923,72.11538462,26,42,22,32,20,57
78.84615385,80.76923077,79.80769231,21,35,13,25,16,42
75,80.76923077,77.88461538,23,24,8,19,18,36
59.61538462,55.76923077,57.69230769,14,27,7,21,16,31
71.15384615,73.07692308,72.11538462,42,24,8,37,18,50
71.15384615,80.76923077,75.96153846,45,52,32,37,42,95
61.53846154,69.23076923,65.38461538,50,42,8,26,19,59
67.30769231,73.07692308,70.19230769,23,25,8,27,13,31
67.30769231,80.76923077,74.03846154,22,42,16,32,25,50
59.61538462,67.30769231,63.46153846,25,34,16,32,32,62
61.53846154,63.46153846,62.5,47,53,22,38,36,85
50,59.61538462,54.80769231,21,45,13,27,35,62
57.69230769,65.38461538,61.53846154,48,51,9,40,25,58
50,76.92307692,63.46153846,22,39,13,27,20,50
67.30769231,69.23076923,68.26923077,33,40,18,32,15,50
84.61538462,84.61538462,84.61538462,44,50,32,37,32,92
57.69230769,69.23076923,63.46153846,22,38,13,19,13,39
50,82.69230769,66.34615385,26,51,7,26,31,61
75,73.07692308,74.03846154,40,48,16,37,34,72
76.92307692,67.30769231,72.11538462,38,50,13,31,17,52
69.23076923,65.38461538,67.30769231,33,44,30,41,21,75
63.46153846,67.30769231,65.38461538,15,42,19,14,11,36
71.15384615,78.84615385,75,18,29,7,26,9,28
80.76923077,73.07692308,76.92307692,22,56,16,29,42,75
65.38461538,61.53846154,63.46153846,16,36,8,29,13,35
92.30769231,73.07692308,82.69230769,17,45,23,28,19,53
75,88.46153846,81.73076923,34,53,37,33,29,83
76.92307692,76.92307692,76.92307692,37,28,22,10,27,63
63.46153846,71.15384615,67.30769231,24,54,15,33,38,75
82.69230769,69.23076923,75.96153846,28,53,29,31,27,73
73.07692308,73.07692308,73.07692308,20,46,24,29,30,71
73.07692308,78.84615385,75.96153846,37,54,26,30,35,82
88.46153846,76.92307692,82.69230769,38,57,34,40,35,94
84.61538462,84.61538462,84.61538462,30,50,30,28,24,74
63.46153846,82.69230769,73.07692308,47,55,34,36,35,97
78.84615385,76.92307692,77.88461538,28,41,4,31,25,53
82.69230769,82.69230769,82.69230769,29,44,7,24,24,55
76.92307692,71.15384615,74.03846154,25,35,10,22,20,49
61.53846154,65.38461538,63.46153846,28,34,14,21,32,56
53.84615385,53.84615385,53.84615385,27,39,8,19,20,45
65.38461538,76.92307692,71.15384615,23,40,9,27,21,54
80.76923077,69.23076923,75,29,41,5,30,28,53
57.69230769,67.30769231,62.5,31,45,16,27,35,79
78.84615385,63.46153846,71.15384615,39,44,5,34,27,69
71.15384615,86.53846154,78.84615385,31,46,2,33,26,63
63.46153846,67.30769231,65.38461538,31,34,14,28,24,61
80.76923077,84.61538462,82.69230769,46,42,2,25,27,55
88.46153846,73.07692308,80.76923077,32,42,11,35,25,66
50,61.53846154,55.76923077,20,43,5,22,25,51
67.30769231,65.38461538,66.34615385,29,45,8,29,23,54
55.76923077,73.07692308,64.42307692,38,36,3,31,23,56
94.23076923,80.76923077,87.5,31,36,14,29,19,58
69.23076923,67.30769231,68.26923077,27,42,4,31,26,52
88.46153846,86.53846154,87.5,29,36,6,27,20,54
53.84615385,48.07692308,50.96153846,23,33,13,19,19,47
71.15384615,67.30769231,69.23076923,27,40,6,28,20,52
63.46153846,76.92307692,70.19230769,24,37,14,24,21,52
76.92307692,76.92307692,76.92307692,34,43,13,21,23,55
55.76923077,57.69230769,56.73076923,19,36,14,21,33,52
67.30769231,73.07692308,70.19230769,31,39,9,28,25,57
73.07692308,73.07692308,73.07692308,18,40,13,26,21,53
53.84615385,61.53846154,57.69230769,26,38,13,14,27,43
67.30769231,59.61538462,63.46153846,47,55,8,35,26,66
63.46153846,69.23076923,66.34615385,33,40,9,35,20,68
71.15384615,76.92307692,74.03846154,21,32,9,20,11,32
73.07692308,76.92307692,75,30,43,7,28,25,54
65.38461538,57.69230769,61.53846154,27,40,8,24,25,56
76.92307692,80.76923077,78.84615385,27,30,6,28,21,53
88.46153846,78.84615385,83.65384615,24,34,10,23,25,48
61.53846154,73.07692308,67.30769231,25,47,12,32,15,63
80.76923077,84.61538462,82.69230769,23,36,7,31,19,56
50,67.30769231,58.65384615,24,42,4,33,20,53
53.84615385,65.38461538,59.61538462,41,45,13,22,24,65
84.61538462,76.92307692,80.76923077,22,36,10,31,21,55
55.76923077,55.76923077,55.76923077,14,46,7,26,11,33
71.15384615,78.84615385,75,20,35,14,17,18,48
73.07692308,69.23076923,71.15384615,32,47,19,35,30,68
82.69230769,76.92307692,79.80769231,33,51,31,31,38,93
61.53846154,69.23076923,65.38461538,36,43,10,27,25,62
82.69230769,86.53846154,84.61538462,42,43,2,32,27,61
59.61538462,69.23076923,64.42307692,28,41,7,19,23,45
48.07692308,67.30769231,57.69230769,22,40,14,20,22,48
53.84615385,51.92307692,52.88461538,16,37,14,18,20,49
59.61538462,76.92307692,68.26923077,30,47,6,31,20,55
61.53846154,76.92307692,69.23076923,21,36,13,22,24,52
57.69230769,76.92307692,67.30769231,30,39,7,25,20,55
59.61538462,61.53846154,60.57692308,32,40,10,27,23,59
76.92307692,76.92307692,76.92307692,24,46,5,22,27,49
57.69230769,75,66.34615385,30,41,3,33,22,57
69.23076923,82.69230769,75.96153846,21,39,10,18,14,45
46.15384615,69.23076923,57.69230769,29,32,14,17,22,51
63.46153846,76.92307692,70.19230769,40,43,9,33,29,70
86.53846154,86.53846154,86.53846154,26,39,10,26,21,50
46.15384615,65.38461538,55.76923077,25,35,14,29,21,56
63.46153846,65.38461538,64.42307692,28,34,14,22,28,52
63.46153846,75,69.23076923,28,42,14,24,18,54
71.15384615,75,73.07692308,33,47,9,31,33,65
75,71.15384615,73.07692308,29,39,3,27,20,44
69.23076923,69.23076923,69.23076923,17,30,14,22,17,44
69.23076923,63.46153846,66.34615385,35,40,7,34,26,65
82.69230769,84.61538462,83.65384615,36,45,7,39,28,68
48.07692308,69.23076923,58.65384615,23,37,14,28,20,51
78.84615385,71.15384615,75,36,47,11,24,25,60
84.61538462,82.69230769,83.65384615,34,46,3,37,24,61
71.15384615,65.38461538,68.26923077,33,42,9,26,24,58
75,67.30769231,71.15384615,35,45,3,34,33,64
84.61538462,84.61538462,84.61538462,24,39,5,26,20,47
67.30769231,73.07692308,70.19230769,24,42,13,20,19,49
76.92307692,80.76923077,78.84615385,14,34,11,26,16,49
61.53846154,65.38461538,63.46153846,23,40,8,23,23,51
76.92307692,59.61538462,68.26923077,28,42,8,32,26,61
61.53846154,61.53846154,61.53846154,24,39,8,30,19,54
80.76923077,78.84615385,79.80769231,26,46,8,24,18,53
63.46153846,65.38461538,64.42307692,25,42,3,29,25,53
53.84615385,57.69230769,55.76923077,27,28,5,25,16,42
73.07692308,73.07692308,73.07692308,34,44,9,29,22,57
65.38461538,69.23076923,67.30769231,32,41,8,29,19,55
61.53846154,78.84615385,70.19230769,25,41,9,40,20,59
63.46153846,76.92307692,70.19230769,25,44,9,32,26,58
73.07692308,82.69230769,77.88461538,25,39,5,31,24,53
76.92307692,73.07692308,75,30,33,9,20,21,49
59.61538462,88.46153846,74.03846154,27,39,13,24,26,55
69.23076923,67.30769231,68.26923077,30,42,4,37,26,59
71.15384615,76.92307692,74.03846154,31,43,13,25,23,58
55.76923077,65.38461538,60.57692308,15,34,14,12,15,37
61.53846154,57.69230769,59.61538462,27,40,14,20,23,61
59.61538462,82.69230769,71.15384615,32,42,14,26,22,62
63.46153846,75,69.23076923,29,42,10,19,23,55
63.46153846,61.53846154,62.5,33,41,13,22,16,61
61.53846154,67.30769231,64.42307692,16,38,14,20,23,51
59.61538462,75,67.30769231,32,45,14,26,25,61
67.30769231,63.46153846,65.38461538,29,41,13,27,20,58
63.46153846,57.69230769,60.57692308,24,41,13,26,24,58
53.84615385,67.30769231,60.57692308,22,39,8,22,21,51
71.15384615,71.15384615,71.15384615,22,37,9,32,21,53
69.23076923,80.76923077,75,35,39,8,40,26,68
78.84615385,82.69230769,80.76923077,38,41,9,29,25,62
84.61538462,86.53846154,85.57692308,40,45,2,43,31,72
88.46153846,88.46153846,88.46153846,35,44,3,39,29,65
80.76923077,71.15384615,75.96153846,19,59,42,34,42,93
71.15384615,69.23076923,70.19230769,22,40,7,26,24,49
63.46153846,63.46153846,63.46153846,20,36,12,25,18,50
53.84615385,73.07692308,63.46153846,28,33,12,23,20,52
53.84615385,55.76923077,54.80769231,28,38,10,26,23,55
69.23076923,75,72.11538462,29,37,14,28,20,61
71.15384615,61.53846154,66.34615385,20,38,13,20,17,46
90.38461538,80.76923077,85.57692308,34,41,8,29,27,67
75,82.69230769,78.84615385,29,42,8,35,25,64
76.92307692,76.92307692,76.92307692,28,37,9,28,17,54
82.69230769,88.46153846,85.57692308,37,43,5,32,22,61
55.76923077,63.46153846,59.61538462,22,32,13,28,26,55
59.61538462,80.76923077,70.19230769,34,40,12,24,24,58
94.23076923,86.53846154,90.38461538,35,42,4,33,24,58
76.92307692,75,75.96153846,18,17,7,29,12,48
75,71.15384615,73.07692308,29,49,9,38,13,71
71.15384615,73.07692308,72.11538462,22,40,14,22,17,51
63.46153846,51.92307692,57.69230769,33,41,12,31,30,66
55.76923077,59.61538462,57.69230769,31,38,11,19,21,50
48.07692308,75,61.53846154,27,40,14,19,24,53
53.84615385,65.38461538,59.61538462,35,32,8,33,23,61
75,82.69230769,78.84615385,34,43,10,31,28,66
76.92307692,82.69230769,79.80769231,20,29,14,25,16,53
82.69230769,88.46153846,85.57692308,34,42,4,30,26,57
61.53846154,65.38461538,63.46153846,35,35,9,22,24,56
73.07692308,73.07692308,73.07692308,25,43,5,30,26,54
59.61538462,50,54.80769231,28,32,10,26,22,52
88.46153846,75,81.73076923,33,40,8,35,22,69