AllSubjects,Age,Gender,MelodyScore,PercentageMelodyScore,RhythmScore,PercentageOfRhythmScore,TotalMETScore,PercentageOfTotalMETScore,F1,F2,F3,F4,F5,GS,IQ,VCI,PRI,WMI,PSI
1,33,2,36,69.2307692307692,36,69.2307692307692,72,69.2307692307692,32,43,23,31,24,72,112,106,126,113,95
1,22,1,42,80.7692307692308,35,67.3076923076923,77,74.0384615384615,20,43,8,39,15,41,116,95,128,122,117
1,22,2,29,55.7692307692308,37,71.1538461538462,66,63.4615384615385,41,35,9,34,10,40,106,104,110,99,109
1,24,2,37,71.1538461538462,42,80.7692307692308,79,75.9615384615385,26,33,7,30,25,48,123,114,124,128,117
1,24,1,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,20,46,25,26,26,57,122,114,118,102,144
1,27,2,35,67.3076923076923,42,80.7692307692308,77,74.0384615384615,21,41,25,26,25,66,124,116,130,125,114
1,23,2,31,59.6153846153846,40,76.9230769230769,71,68.2692307692308,40,48,9,33,38,68,113,112,110,113,112
1,28,1,34,65.3846153846154,37,71.1538461538462,71,68.2692307692308,24,34,8,31,17,43,113,114,112,102,117
1,24,2,39,75,35,67.3076923076923,74,71.1538461538462,38,38,22,32,18,56,123,112,134,119,114
1,22,1,30,57.6923076923077,39,75,69,66.3461538461538,29,48,12,28,22,50,105,116,94,105,104
1,23,1,39,75,42,80.7692307692308,81,77.8846153846154,21,33,9,20,20,38,119,108,128,102,128
1,19,1,31,59.6153846153846,32,61.5384615384615,63,60.5769230769231,37,44,11,32,16,53,112,112,114,113,104
1,21,2,37,71.1538461538462,42,80.7692307692308,79,75.9615384615385,61,53,33,40,23,90,112,114,124,105,93
1,37,2,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,36,54,37,37,33,91,122,110,138,122,104
1,24,2,43,82.6923076923077,42,80.7692307692308,85,81.7307692307692,42,46,30,29,29,77,116,106,130,122,98
1,24,2,41,78.8461538461538,44,84.6153846153846,85,81.7307692307692,38,45,18,33,18,59,118,126,114,119,104
1,24,2,38,73.0769230769231,36,69.2307692307692,74,71.1538461538462,36,54,28,35,38,92,105,102,108,108,101
1,22,1,27,51.9230769230769,39,75,66,63.4615384615385,32,40,12,30,32,62,102,102,98,113,95
1,25,2,30,57.6923076923077,40,76.9230769230769,70,67.3076923076923,43,46,10,38,26,64,111,118,100,122,101
1,25,1,36,69.2307692307692,46,88.4615384615385,82,78.8461538461538,26,40,9,30,23,47,114,112,118,93,125
1,27,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,29,21,10,17,13,32,110,104,126,93,109
1,22,2,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,35,33,9,33,15,39,125,128,132,119,104
1,23,1,37,71.1538461538462,36,69.2307692307692,73,70.1923076923077,31,45,15,37,25,59,115,102,122,113,117
1,22,1,43,82.6923076923077,48,92.3076923076923,91,87.5,54,56,23,41,30,85,122,112,118,119,131
1,32,2,41,78.8461538461538,43,82.6923076923077,84,80.7692307692308,40,53,37,32,40,107,105,124,102,102,84
1,23,2,31,59.6153846153846,34,65.3846153846154,65,62.5,35,36,7,33,32,51,100,100,102,96,104
1,22,2,34,65.3846153846154,35,67.3076923076923,69,66.3461538461538,31,38,11,34,29,56,104,95,108,110,104
1,25,2,30,57.6923076923077,28,53.8461538461538,61,58.6538461538462,39,40,16,32,25,64,116,120,120,108,106
1,24,1,29,55.7692307692308,36,69.2307692307692,65,62.5,16,42,19,31,24,57,108,114,92,108,120
1,24,2,38,73.0769230769231,33,63.4615384615385,71,68.2692307692308,29,49,20,27,14,56,98,102,98,90,101
1,23,1,33,63.4615384615385,41,78.8461538461538,74,71.1538461538462,29,44,24,31,22,60,120,128,122,90,125
1,20,1,37,71.1538461538462,41,78.8461538461538,78,75,27,43,8,29,29,55,117,122,122,96,114
1,23,2,36,69.2307692307692,43,82.6923076923077,79,75.9615384615385,45,42,23,34,26,71,115,116,138,88,101
1,23,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,14,46,7,26,11,33,125,114,138,119,114
1,18,1,35,67.3076923076923,37,71.1538461538462,72,69.2307692307692,9,33,32,16,17,47,106,91,122,90,120
1,20,1,30,57.6923076923077,40,76.9230769230769,70,67.3076923076923,26,41,26,27,18,59,104,100,108,99,106
1,30,1,35,67.3076923076923,40,76.9230769230769,75,72.1153846153846,35,42,14,33,27,63,112,102,124,102,112
1,23,2,36,69.2307692307692,39,75,75,72.1153846153846,48,41,22,30,20,70,106,102,110,102,109
1,24,2,28,53.8461538461538,33,63.4615384615385,61,58.6538461538462,33,35,7,22,12,32,98,99,102,93,112
1,22,1,41,78.8461538461538,41,78.8461538461538,82,78.8461538461538,18,24,15,21,9,28,111,99,122,110,109
1,22,1,35,67.3076923076923,40,76.9230769230769,75,72.1153846153846,25,43,13,30,19,50,102,91,106,99,117
1,20,1,36,69.2307692307692,43,82.6923076923077,79,75.9615384615385,29,37,16,30,21,52,110,106,118,113,95
1,22,1,30,57.6923076923077,32,61.5384615384615,62,59.6153846153846,21,42,9,27,20,45,104,91,104,93,134
1,27,2,37,71.1538461538462,36,69.2307692307692,73,70.1923076923077,33,50,11,33,15,47,105,106,112,105,93
1,18,1,37,71.1538461538462,37,71.1538461538462,74,71.1538461538462,39,52,36,40,33,91,118,118,118,110,114
1,23,2,39,75,33,63.4615384615385,72,69.2307692307692,43,55,25,37,36,87,102,100,104,99,106
1,24,2,42,80.7692307692308,39,75,81,77.8846153846154,41,44,24,36,23,67,130,120,130,116,139
1,29,2,42,80.7692307692308,48,92.3076923076923,90,86.5384615384615,18,41,11,32,26,50,142,128,146,150,123
1,23,1,44,84.6153846153846,45,86.5384615384615,89,85.5769230769231,35,58,31,34,33,88,106,114,102,90,112
1,23,1,38,73.0769230769231,41,78.8461538461538,79,75.9615384615385,33,38,18,36,24,61,112,97,124,105,117
1,20,2,42,80.7692307692308,35,67.3076923076923,77,74.0384615384615,39,54,28,41,29,95,109,99,114,105,117
1,21,2,36,69.2307692307692,45,86.5384615384615,81,77.8846153846154,48,56,31,36,27,87,116,108,116,130,106
1,22,1,38,73.0769230769231,34,65.3846153846154,72,69.2307692307692,28,34,17,35,24,49,122,102,130,122,128
1,23,2,28,53.8461538461538,36,69.2307692307692,64,61.5384615384615,32,33,8,24,20,43,105,99,116,105,98
1,21,1,31,59.6153846153846,30,57.6923076923077,61,58.6538461538462,26,44,12,25,24,54,99,91,110,82,114
1,31,1,29,55.7692307692308,30,57.6923076923077,59,56.7307692307692,37,58,13,38,19,58,98,102,98,90,104
1,23,1,30,57.6923076923077,28,53.8461538461538,58,55.7692307692308,40,44,8,24,25,49,104,99,110,96,109
1,25,2,32,61.5384615384615,39,75,71,68.2692307692308,15,33,8,22,14,28,122,131,122,119,101
1,28,1,43,82.6923076923077,39,75,82,78.8461538461538,41,52,36,41,28,88,116,104,112,113,134
1,22,1,38,73.0769230769231,42,80.7692307692308,80,76.9230769230769,41,57,21,40,35,75,109,108,106,110,109
1,24,1,43,82.6923076923077,36,69.2307692307692,79,75.9615384615385,37,37,8,29,24,47,120,108,130,108,125
1,22,2,42,80.7692307692308,44,84.6153846153846,86,82.6923076923077,39,53,29,35,39,91,108,120,98,96,112
1,18,2,33,63.4615384615385,36,69.2307692307692,69,66.3461538461538,15,32,7,13,11,28,98,93,102,102,98
1,19,1,39,75,36,69.2307692307692,75,72.1153846153846,26,42,22,32,20,57,120,110,110,113,142
1,25,1,41,78.8461538461538,42,80.7692307692308,83,79.8076923076923,21,35,13,25,16,42,127,124,134,116,117
1,25,1,39,75,42,80.7692307692308,81,77.8846153846154,23,24,8,19,18,36,110,108,112,105,109
1,18,2,31,59.6153846153846,29,55.7692307692308,60,57.6923076923077,14,27,7,21,16,31,114,120,100,108,125
1,22,1,37,71.1538461538462,38,73.0769230769231,75,72.1153846153846,42,24,8,37,18,50,106,112,102,88,120
1,25,1,37,71.1538461538462,42,80.7692307692308,79,75.9615384615385,45,52,32,37,42,95,102,106,106,82,109
1,25,2,32,61.5384615384615,36,69.2307692307692,68,65.3846153846154,50,42,8,26,19,59,121,100,132,116,128
1,25,1,35,67.3076923076923,38,73.0769230769231,73,70.1923076923077,23,25,8,27,13,31,123,126,122,102,128
1,23,1,35,67.3076923076923,42,80.7692307692308,77,74.0384615384615,22,42,16,32,25,50,116,104,116,105,134
1,26,1,31,59.6153846153846,35,67.3076923076923,66,63.4615384615385,25,34,16,32,32,62,108,118,104,93,109
1,18,2,32,61.5384615384615,33,63.4615384615385,65,62.5,47,53,22,38,36,85,106,99,122,88,109
1,26,2,26,50,31,59.6153846153846,57,54.8076923076923,21,45,13,27,35,62,94,100,94,90,93
1,22,1,30,57.6923076923077,34,65.3846153846154,64,61.5384615384615,48,51,9,40,25,58,98,110,100,76,101
1,22,2,26,50,40,76.9230769230769,66,63.4615384615385,22,39,13,27,20,50,108,106,108,110,106
1,20,2,44,84.6153846153846,44,84.6153846153846,88,84.6153846153846,44,50,32,37,32,92,115,106,122,113,112
1,25,1,30,57.6923076923077,36,69.2307692307692,66,63.4615384615385,22,38,13,19,13,39,124,108,122,133,128
1,25,2,26,50,43,82.6923076923077,69,66.3461538461538,26,51,7,26,31,61,125,112,130,116,131
1,22,1,39,75,38,73.0769230769231,77,74.0384615384615,40,48,16,37,34,72,107,100,110,108,109
1,22,2,40,76.9230769230769,35,67.3076923076923,75,72.1153846153846,38,50,13,31,17,52,108,110,106,93,120
1,31,2,36,69.2307692307692,34,65.3846153846154,70,67.3076923076923,33,44,30,41,21,75,121,122,114,122,117
1,22,1,33,63.4615384615385,35,67.3076923076923,68,65.3846153846154,15,42,19,14,11,36,116,110,106,125,123
1,25,1,37,71.1538461538462,41,78.8461538461538,78,75,18,29,7,26,9,28,116,108,120,108,120
1,27,1,42,80.7692307692308,38,73.0769230769231,80,76.9230769230769,22,56,16,29,42,75,118,120,114,105,123
1,19,1,34,65.3846153846154,32,61.5384615384615,66,63.4615384615385,16,36,8,29,13,35,96,106,96,82,101
1,33,2,48,92.3076923076923,38,73.0769230769231,86,82.6923076923077,17,45,23,28,19,53,121,122,126,99,123
1,22,2,39,75,46,88.4615384615385,85,81.7307692307692,34,53,37,33,29,83,118,106,124,122,114
1,24,1,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,37,28,22,10,27,63,117,110,122,113,114
1,24,2,33,63.4615384615385,37,71.1538461538462,70,67.3076923076923,24,54,15,33,38,75,122,124,116,119,120
1,24,1,43,82.6923076923077,36,69.2307692307692,79,75.9615384615385,28,53,29,31,27,73,135,108,144,128,147
1,36,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,20,46,24,29,30,71,119,114,126,119,106
1,22,1,38,73.0769230769231,41,78.8461538461538,79,75.9615384615385,37,54,26,30,35,82,102,97,102,99,112
1,22,1,46,88.4615384615385,40,76.9230769230769,86,82.6923076923077,38,57,34,40,35,94,122,110,136,113,117
1,26,1,44,84.6153846153846,44,84.6153846153846,88,84.6153846153846,30,50,30,28,24,74,120,120,128,110,109
1,22,1,33,63.4615384615385,43,82.6923076923077,76,73.0769230769231,47,55,34,36,35,97,112,108,100,113,128
1,25,1,41,78.8461538461538,40,76.9230769230769,81,77.8846153846154,28,41,4,31,25,53,118,118,124,102,117
1,22,2,43,82.6923076923077,43,82.6923076923077,86,82.6923076923077,29,44,7,24,24,55,108,122,104,96,101
1,34,1,40,76.9230769230769,37,71.1538461538462,77,74.0384615384615,25,35,10,22,20,49,116,124,126,90,106
1,21,1,32,61.5384615384615,34,65.3846153846154,66,63.4615384615385,28,34,14,21,32,56,105,110,100,93,114
1,23,1,28,53.8461538461538,28,53.8461538461538,56,53.8461538461538,27,39,8,19,20,45,120,114,120,110,125
1,20,1,34,65.3846153846154,40,76.9230769230769,74,71.1538461538462,23,40,9,27,21,54,111,91,130,105,114
1,40,1,42,80.7692307692308,36,69.2307692307692,78,75,29,41,5,30,28,53,111,99,116,116,112
1,25,2,30,57.6923076923077,35,67.3076923076923,65,62.5,31,45,16,27,35,79,100,106,100,85,106
1,27,2,41,78.8461538461538,33,63.4615384615385,74,71.1538461538462,39,44,5,34,27,69,96,95,92,90,114
1,27,2,37,71.1538461538462,45,86.5384615384615,82,78.8461538461538,31,46,2,33,26,63,109,108,116,105,101
1,26,1,33,63.4615384615385,35,67.3076923076923,68,65.3846153846154,31,34,14,28,24,61,108,106,114,110,98
1,28,2,42,80.7692307692308,44,84.6153846153846,86,82.6923076923077,46,42,2,25,27,55,114,104,122,96,125
1,44,2,46,88.4615384615385,38,73.0769230769231,84,80.7692307692308,32,42,11,35,25,66,110,112,116,93,114
1,24,2,26,50,32,61.5384615384615,58,55.7692307692308,20,43,5,22,25,51,108,106,110,110,104
1,33,2,35,67.3076923076923,34,65.3846153846154,69,66.3461538461538,29,45,8,29,23,54,115,137,116,99,90
1,26,2,29,55.7692307692308,38,73.0769230769231,67,64.4230769230769,38,36,3,31,23,56,132,131,136,125,117
1,21,2,49,94.2307692307692,42,80.7692307692308,91,87.5,31,36,14,29,19,58,109,106,118,93,112
1,21,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,27,42,4,31,26,52,110,108,120,102,101
1,26,2,46,88.4615384615385,45,86.5384615384615,91,87.5,29,36,6,27,20,54,126,118,126,122,125
1,21,1,28,53.8461538461538,25,48.0769230769231,53,50.9615384615385,23,33,13,19,19,47,112,112,112,110,109
1,25,1,37,71.1538461538462,35,67.3076923076923,72,69.2307692307692,27,40,6,28,20,52,107,99,108,93,128
1,42,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,24,37,14,24,21,52,113,102,120,116,109
1,21,2,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,34,43,13,21,23,55,96,93,108,96,87
1,23,1,29,55.7692307692308,30,57.6923076923077,59,56.7307692307692,19,36,14,21,33,52,104,102,116,82,112
1,21,2,35,67.3076923076923,38,73.0769230769231,73,70.1923076923077,31,39,9,28,25,57,106,104,108,99,109
1,25,1,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,18,40,13,26,21,53,108,93,116,90,134
1,25,2,28,53.8461538461538,32,61.5384615384615,60,57.6923076923077,26,38,13,14,27,43,104,104,98,110,104
1,30,2,35,67.3076923076923,31,59.6153846153846,66,63.4615384615385,47,55,8,35,26,66,99,102,112,88,90
1,26,1,33,63.4615384615385,36,69.2307692307692,69,66.3461538461538,33,40,9,35,20,68,93,112,84,82,95
1,23,1,37,71.1538461538462,40,76.9230769230769,77,74.0384615384615,21,32,9,20,11,32,107,118,106,90,106
1,24,2,38,73.0769230769231,40,76.9230769230769,78,75,30,43,7,28,25,54,112,133,102,110,93
1,24,2,34,65.3846153846154,30,57.6923076923077,64,61.5384615384615,27,40,8,24,25,56,98,97,92,108,104
1,25,1,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,27,30,6,28,21,53,102,91,106,99,114
1,27,1,46,88.4615384615385,41,78.8461538461538,87,83.6538461538462,24,34,10,23,25,48,126,124,128,113,123
1,20,2,32,61.5384615384615,38,73.0769230769231,70,67.3076923076923,25,47,12,32,15,63,94,97,80,99,109
1,23,1,42,80.7692307692308,44,84.6153846153846,86,82.6923076923077,23,36,7,31,19,56,120,104,136,125,106
1,27,2,26,50,35,67.3076923076923,61,58.6538461538462,24,42,4,33,20,53,124,124,114,113,136
1,22,2,28,53.8461538461538,34,65.3846153846154,62,59.6153846153846,41,45,13,22,24,65,120,120,118,125,109
1,21,1,44,84.6153846153846,40,76.9230769230769,84,80.7692307692308,22,36,10,31,21,55,111,97,122,108,114
1,26,2,29,55.7692307692308,29,55.7692307692308,58,55.7692307692308,14,46,7,26,11,33,92,95,90,99,93
1,26,2,37,71.1538461538462,41,78.8461538461538,78,75,20,35,14,17,18,48,103,89,102,99,128
1,22,1,38,73.0769230769231,36,69.2307692307692,74,71.1538461538462,32,47,19,35,30,68,124,116,126,116,125
1,22,1,43,82.6923076923077,40,76.9230769230769,83,79.8076923076923,33,51,31,31,38,93,111,118,112,90,114
1,20,1,32,61.5384615384615,36,69.2307692307692,68,65.3846153846154,36,43,10,27,25,62,120,114,130,102,123
1,27,1,43,82.6923076923077,45,86.5384615384615,88,84.6153846153846,42,43,2,32,27,61,127,128,116,102,150
1,22,2,31,59.6153846153846,36,69.2307692307692,67,64.4230769230769,28,41,7,19,23,45,108,114,106,90,114
1,25,2,25,48.0769230769231,35,67.3076923076923,60,57.6923076923077,22,40,14,20,22,48,105,108,108,90,109
1,22,2,28,53.8461538461538,27,51.9230769230769,55,52.8846153846154,16,37,14,18,20,49,117,131,114,105,104
1,26,1,31,59.6153846153846,40,76.9230769230769,71,68.2692307692308,30,47,6,31,20,55,120,120,126,105,117
1,21,2,32,61.5384615384615,40,76.9230769230769,72,69.2307692307692,21,36,13,22,24,52,120,116,128,105,120
1,22,1,30,57.6923076923077,40,76.9230769230769,70,67.3076923076923,30,39,7,25,20,55,100,108,98,79,114
1,23,2,31,59.6153846153846,32,61.5384615384615,63,60.5769230769231,32,40,10,27,23,59,123,129,122,122,104
1,19,2,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,24,46,5,22,27,49,116,116,118,110,109
1,28,2,30,57.6923076923077,39,75,69,66.3461538461538,30,41,3,33,22,57,119,126,116,110,112
1,24,2,36,69.2307692307692,43,82.6923076923077,79,75.9615384615385,21,39,10,18,14,45,141,126,144,133,142
1,25,2,24,46.1538461538462,36,69.2307692307692,60,57.6923076923077,29,32,14,17,22,51,128,118,124,122,139
1,24,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,40,43,9,33,29,70,124,129,122,102,128
1,21,2,45,86.5384615384615,45,86.5384615384615,90,86.5384615384615,26,39,10,26,21,50,113,124,108,110,101
1,27,2,24,46.1538461538462,34,65.3846153846154,58,55.7692307692308,25,35,14,29,21,56,111,114,108,105,120
1,21,1,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,28,34,14,22,28,52,97,112,86,96,95
1,25,1,33,63.4615384615385,39,75,72,69.2307692307692,28,42,14,24,18,54,107,112,114,108,87
1,26,2,37,71.1538461538462,39,75,76,73.0769230769231,33,47,9,31,33,65,119,126,96,130,120
1,34,1,39,75,37,71.1538461538462,76,73.0769230769231,29,39,3,27,20,44,112,108,110,105,123
1,21,1,36,69.2307692307692,36,69.2307692307692,72,69.2307692307692,17,30,14,22,17,44,98,83,112,93,106
1,23,1,36,69.2307692307692,33,63.4615384615385,69,66.3461538461538,35,40,7,34,26,65,134,118,150,122,125
1,47,1,43,82.6923076923077,44,84.6153846153846,87,83.6538461538462,36,45,7,39,28,68,111,116,124,88,104
1,28,2,25,48.0769230769231,36,69.2307692307692,61,58.6538461538462,23,37,14,28,20,51,114,114,96,108,134
1,25,2,41,78.8461538461538,37,71.1538461538462,78,75,36,47,11,24,25,60,116,112,122,125,95
1,21,1,44,84.6153846153846,43,82.6923076923077,87,83.6538461538462,34,46,3,37,24,61,126,124,132,119,114
1,25,1,37,71.1538461538462,34,65.3846153846154,71,68.2692307692308,33,42,9,26,24,58,124,129,110,105,139
1,24,1,39,75,35,67.3076923076923,74,71.1538461538462,35,45,3,34,33,64,112,99,110,108,134
1,23,1,44,84.6153846153846,44,84.6153846153846,88,84.6153846153846,24,39,5,26,20,47,102,97,98,99,120
1,29,1,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,14,34,11,26,16,49,112,104,116,108,114
1,18,2,32,61.5384615384615,34,65.3846153846154,66,63.4615384615385,23,40,8,23,23,51,115,114,112,125,104
1,22,1,40,76.9230769230769,31,59.6153846153846,71,68.2692307692308,28,42,8,32,26,61,118,104,134,99,125
1,23,1,32,61.5384615384615,32,61.5384615384615,64,61.5384615384615,24,39,8,30,19,54,104,120,96,90,106
1,22,2,42,80.7692307692308,41,78.8461538461538,83,79.8076923076923,26,46,8,24,18,53,132,124,146,125,112
1,30,1,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,25,42,3,29,25,53,90,99,84,79,104
1,28,2,28,53.8461538461538,30,57.6923076923077,58,55.7692307692308,27,28,5,25,16,42,104,108,104,88,112
1,38,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,34,44,9,29,22,57,113,99,124,102,123
1,25,2,34,65.3846153846154,36,69.2307692307692,70,67.3076923076923,32,41,8,29,19,55,122,118,112,122,128
1,23,1,32,61.5384615384615,41,78.8461538461538,73,70.1923076923077,25,41,9,40,20,59,108,102,108,90,128
1,22,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,25,44,9,32,26,58,108,108,100,119,104
1,22,1,38,73.0769230769231,43,82.6923076923077,81,77.8846153846154,25,39,5,31,24,53,132,106,142,116,150
1,20,1,40,76.9230769230769,38,73.0769230769231,78,75,30,33,9,20,21,49,134,124,130,139,128
1,25,1,31,59.6153846153846,46,88.4615384615385,77,74.0384615384615,27,39,13,24,26,55,111,102,98,119,128
1,20,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,30,42,4,37,26,59,113,112,114,108,112
1,47,2,37,71.1538461538462,40,76.9230769230769,77,74.0384615384615,31,43,13,25,23,58,132,131,118,133,134
1,25,1,29,55.7692307692308,34,65.3846153846154,63,60.5769230769231,15,34,14,12,15,37,105,104,96,108,114
1,22,2,32,61.5384615384615,30,57.6923076923077,62,59.6153846153846,27,40,14,20,23,61,107,112,108,99,104
1,21,1,31,59.6153846153846,43,82.6923076923077,74,71.1538461538462,32,42,14,26,22,62,124,124,118,113,128
1,29,1,33,63.4615384615385,39,75,72,69.2307692307692,29,42,10,19,23,55,116,110,120,105,120
1,29,2,33,63.4615384615385,32,61.5384615384615,65,62.5,33,41,13,22,16,61,103,108,100,102,101
1,22,1,32,61.5384615384615,35,67.3076923076923,67,64.4230769230769,16,38,14,20,23,51,96,95,100,88,106
1,24,1,31,59.6153846153846,39,75,70,67.3076923076923,32,45,14,26,25,61,99,97,108,82,109
1,24,1,35,67.3076923076923,33,63.4615384615385,68,65.3846153846154,29,41,13,27,20,58,98,100,92,93,112
1,24,1,33,63.4615384615385,30,57.6923076923077,63,60.5769230769231,24,41,13,26,24,58,113,106,112,110,120
1,25,1,28,53.8461538461538,35,67.3076923076923,63,60.5769230769231,22,39,8,22,21,51,116,106,118,108,128
1,24,1,37,71.1538461538462,37,71.1538461538462,74,71.1538461538462,22,37,9,32,21,53,122,116,118,110,134
1,26,1,44,84.6153846153846,45,86.5384615384615,89,85.5769230769231,40,45,2,43,31,72,117,110,98,119,142
1,25,2,29,55.7692307692308,33,63.4615384615385,62,59.6153846153846,22,32,13,28,26,55,106,97,100,119,114
1,27,2,39,75,37,71.1538461538462,76,73.0769230769231,29,49,9,38,13,71,102,110,100,99,95
1,28,2,33,63.4615384615385,27,51.9230769230769,60,57.6923076923077,33,41,12,31,30,66,83,93,78,79,93
1,22,2,39,75,43,82.6923076923077,82,78.8461538461538,34,43,10,31,28,66,107,104,98,105,123
